route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo,Month,month,Date
2,False,1,HND,13:20,KIX,14:45,NH 991,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,29
2,False,1,HND,13:20,KIX,14:45,NH 991,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,29
2,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,29
2,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,29
3,False,1,HND,12:00,ITM,13:05,NH 23,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,29
3,False,1,HND,12:00,ITM,13:05,NH 23,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,29
3,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,29
3,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,29
4,False,1,HND,11:00,ITM,12:05,NH 21,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,29
4,False,1,HND,11:00,ITM,12:05,NH 21,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,29
4,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,29
4,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,29
5,False,1,HND,09:00,ITM,10:05,NH 17,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,29
5,False,1,HND,09:00,ITM,10:05,NH 17,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,29
5,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,29
5,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,29
1,True,1,HND,17:45,SFO,11:30,UA 876,"Non Stop, 09h 45m",United Airlines ,1,"LM 47,000",+ US$ 66.40,Sep,9,30
1,True,1,HND,17:45,SFO,11:30,UA 876,"Non Stop, 09h 45m",United Airlines ,2,,,Sep,9,30
2,False,1,HND,13:20,KIX,14:45,NH 991,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,30
2,False,1,HND,13:20,KIX,14:45,NH 991,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,30
2,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,30
2,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,30
3,False,1,HND,12:00,ITM,13:05,NH 23,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,30
3,False,1,HND,12:00,ITM,13:05,NH 23,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,30
3,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,30
3,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,30
4,False,1,HND,11:00,ITM,12:05,NH 21,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,30
4,False,1,HND,11:00,ITM,12:05,NH 21,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,30
4,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,30
4,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,30
5,False,1,HND,09:00,ITM,10:05,NH 17,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,30
5,False,1,HND,09:00,ITM,10:05,NH 17,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,30
5,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,30
5,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,30
